Gene	kME	module	modulesize
BraA04g033030.3.5C	0.51746114323702	black	831
BraA05g000800.3.5C	0.897412714428277	black	831
BraA05g001980.3.5C	0.880618300508199	black	831
BraA05g004020.3.5C	0.871664914756814	black	831
BraA05g004870.3.5C	0.925819635468795	black	831
BraA05g005420.3.5C	0.753057378948459	black	831
BraA05g006330.3.5C	0.405829045476913	black	831
BraA05g006970.3.5C	0.918398045298609	black	831
BraA05g007910.3.5C	0.864472503327854	black	831
BraA05g008160.3.5C	0.519674574822943	black	831
BraA05g008290.3.5C	0.867299464775788	black	831
BraA05g010040.3.5C	0.756399387394851	black	831
BraA05g012210.3.5C	0.915293325273345	black	831
BraA05g012410.3.5C	0.720433404123021	black	831
BraA05g012810.3.5C	0.469951318467445	black	831
BraA05g012920.3.5C	0.722490604066769	black	831
BraA05g013530.3.5C	0.960214607166723	black	831
BraA05g015490.3.5C	0.845636239565463	black	831
BraA05g015760.3.5C	0.902578849395187	black	831
BraA05g016010.3.5C	0.5103274918103	black	831
BraA05g017660.3.5C	0.672699260509041	black	831
BraA05g021320.3.5C	0.864319967434416	black	831
BraA05g023030.3.5C	0.811807660421596	black	831
BraA05g023920.3.5C	0.833399178985844	black	831
BraA05g024650.3.5C	0.945380560674967	black	831
BraA05g024720.3.5C	0.701135965664583	black	831
BraA05g024870.3.5C	0.914679706879723	black	831
BraA05g025280.3.5C	0.797189242793639	black	831
BraA05g025960.3.5C	0.570704422106087	black	831
BraA05g026270.3.5C	0.464498178435456	black	831
BraA05g026440.3.5C	0.894473253554755	black	831
BraA05g026720.3.5C	0.586086250949959	black	831
BraA05g026940.3.5C	0.457730072259827	black	831
BraA05g026960.3.5C	0.875008281831931	black	831
BraA05g027740.3.5C	0.882228289383841	black	831
BraA05g028380.3.5C	0.811600524565691	black	831
BraA05g028400.3.5C	0.822846324459324	black	831
BraA05g028640.3.5C	0.806997181476231	black	831
BraA05g028750.3.5C	0.937989086240218	black	831
BraA05g029220.3.5C	0.914713863895182	black	831
BraA05g029340.3.5C	0.643473121814848	black	831
BraA05g030530.3.5C	0.873409955539941	black	831
BraA05g030610.3.5C	0.592492436469568	black	831
BraA05g032310.3.5C	0.711751421069315	black	831
BraA05g032430.3.5C	0.751466043059857	black	831
BraA05g032530.3.5C	0.427146815157157	black	831
BraA05g033260.3.5C	0.943813352832725	black	831
BraA05g033570.3.5C	0.637466450978474	black	831
BraA05g033580.3.5C	0.889197129396973	black	831
BraA05g034250.3.5C	0.819336572472663	black	831
BraA05g034270.3.5C	0.837847152949408	black	831
BraA05g034980.3.5C	0.641788881938923	black	831
BraA05g035620.3.5C	0.751912113960031	black	831
BraA05g036500.3.5C	0.87352807506379	black	831
BraA05g036990.3.5C	0.713693019605261	black	831
BraA05g038260.3.5C	0.508417461435739	black	831
BraA05g038410.3.5C	0.855341710129068	black	831
BraA05g038530.3.5C	0.838563861571467	black	831
BraA05g038830.3.5C	0.836718988720604	black	831
BraA05g039250.3.5C	0.699768230406141	black	831
BraA05g039270.3.5C	0.494908115116187	black	831
BraA05g039810.3.5C	0.746025470375393	black	831
BraA05g039930.3.5C	0.841586143609718	black	831
BraA05g040000.3.5C	0.777433888456932	black	831
BraA05g041070.3.5C	0.802894552202995	black	831
BraA05g041080.3.5C	0.766598299868829	black	831
BraA05g041190.3.5C	0.794239133742623	black	831
BraA05g041260.3.5C	0.793348472414921	black	831
BraA05g041280.3.5C	0.871942762135799	black	831
BraA05g041320.3.5C	0.721703910527671	black	831
BraA05g041330.3.5C	0.906598618436044	black	831
BraA05g043050.3.5C	0.388139115347809	black	831
BraA05g043150.3.5C	0.781399693444017	black	831
BraA05g043730.3.5C	0.581757728638054	black	831
BraA06g000570.3.5C	0.808166298213884	black	831
BraA06g001260.3.5C	0.913074993009831	black	831
BraA06g001600.3.5C	0.493530845612449	black	831
BraA06g001800.3.5C	0.546201453753609	black	831
BraA06g001950.3.5C	0.918893324576305	black	831
BraA06g003030.3.5C	0.69419038914217	black	831
BraA06g003910.3.5C	0.846610431508697	black	831
BraA06g004200.3.5C	0.758965361498376	black	831
BraA06g004450.3.5C	0.815988245963943	black	831
BraA06g004510.3.5C	0.882660853711894	black	831
BraA06g005130.3.5C	0.80500305683656	black	831
BraA06g005190.3.5C	0.912133963674243	black	831
BraA06g005360.3.5C	0.815495399197472	black	831
BraA06g005560.3.5C	0.837731593317067	black	831
BraA06g006800.3.5C	0.856697958273302	black	831
BraA06g006930.3.5C	0.655752697068465	black	831
BraA06g006950.3.5C	0.725921218619035	black	831
BraA06g007160.3.5C	0.26866555809734	black	831
BraA06g007460.3.5C	0.752896605998009	black	831
BraA06g008390.3.5C	0.729133036893964	black	831
BraA06g008750.3.5C	0.42847228951003	black	831
BraA06g008790.3.5C	0.914500359029517	black	831
BraA06g009120.3.5C	0.911446442019455	black	831
BraA06g009760.3.5C	0.79912387875366	black	831
BraA06g010080.3.5C	0.693314650921034	black	831
BraA06g010800.3.5C	0.557125538507885	black	831
BraA06g011280.3.5C	0.884902570056094	black	831
BraA06g011300.3.5C	0.883394617301868	black	831
BraA06g011450.3.5C	0.681037395095536	black	831
BraA06g011520.3.5C	0.689306248363262	black	831
BraA06g012320.3.5C	0.712411551622039	black	831
BraA06g012460.3.5C	0.578295208112606	black	831
BraA06g012700.3.5C	0.895800885432888	black	831
BraA06g013260.3.5C	0.916515616143405	black	831
BraA06g013300.3.5C	0.800097192741762	black	831
BraA06g013380.3.5C	0.75396300631049	black	831
BraA06g014440.3.5C	0.916031773932411	black	831
BraA06g014730.3.5C	0.612766882343526	black	831
BraA06g014820.3.5C	0.612649142838912	black	831
BraA06g016000.3.5C	0.889776466093234	black	831
BraA06g016060.3.5C	0.936181883663653	black	831
BraA06g016720.3.5C	0.787112819722133	black	831
BraA06g016790.3.5C	0.695769521234526	black	831
BraA06g017060.3.5C	0.496271707316118	black	831
BraA06g017640.3.5C	0.851893863328853	black	831
BraA06g017890.3.5C	0.889084494152963	black	831
BraA06g018040.3.5C	0.606438151229168	black	831
BraA06g018070.3.5C	0.352329728004395	black	831
BraA06g018140.3.5C	0.855336060282344	black	831
BraA06g020560.3.5C	0.590451018581392	black	831
BraA06g020800.3.5C	0.842639970143101	black	831
BraA06g021340.3.5C	0.729517066060795	black	831
BraA06g025150.3.5C	0.408792198332753	black	831
BraA06g025390.3.5C	0.785671820313067	black	831
BraA06g026340.3.5C	0.867095629649406	black	831
BraA06g026820.3.5C	0.887166333157456	black	831
BraA06g027850.3.5C	0.420388683146796	black	831
BraA06g028050.3.5C	0.575748405636125	black	831
BraA06g028460.3.5C	0.761325054709208	black	831
BraA06g028530.3.5C	0.823794712806519	black	831
BraA06g029940.3.5C	0.358069102300767	black	831
BraA06g030530.3.5C	0.701248728905461	black	831
BraA06g030900.3.5C	0.531836784615484	black	831
BraA06g031030.3.5C	0.60542265394566	black	831
BraA06g031300.3.5C	0.498134355555767	black	831
BraA06g031360.3.5C	0.453122458649584	black	831
BraA06g031960.3.5C	0.635101425245545	black	831
BraA06g032010.3.5C	0.642289266775283	black	831
BraA06g032770.3.5C	0.852699240332581	black	831
BraA06g033850.3.5C	0.622127756031745	black	831
BraA06g034120.3.5C	0.59975539960209	black	831
BraA06g034220.3.5C	0.756447768264546	black	831
BraA06g034640.3.5C	0.335841000462281	black	831
BraA06g035370.3.5C	0.889510828676535	black	831
BraA06g035450.3.5C	0.764845708229458	black	831
BraA06g037150.3.5C	0.854343644669837	black	831
BraA06g038090.3.5C	0.503510927830401	black	831
BraA06g038220.3.5C	0.671082315081253	black	831
BraA06g038250.3.5C	0.696440967840722	black	831
BraA06g038590.3.5C	0.597260710947953	black	831
BraA06g039240.3.5C	0.88565622622839	black	831
BraA06g039310.3.5C	0.81580350968447	black	831
BraA06g039360.3.5C	0.690957578052798	black	831
BraA06g039400.3.5C	0.80606780806179	black	831
BraA06g039450.3.5C	0.778275631205872	black	831
BraA06g040010.3.5C	0.786632108841537	black	831
BraA06g040400.3.5C	0.763309007450032	black	831
BraA06g040730.3.5C	0.748275704040875	black	831
BraA06g040940.3.5C	0.868480793155341	black	831
BraA06g041290.3.5C	0.845111675457336	black	831
BraA06g041400.3.5C	0.558180205889178	black	831
BraA06g041970.3.5C	0.806509695304624	black	831
BraA06g042060.3.5C	0.875040433187878	black	831
BraA06g042850.3.5C	0.826872044152086	black	831
BraA06g043310.3.5C	0.832037517408565	black	831
BraA06g043520.3.5C	0.952638977147235	black	831
BraA06g044230.3.5C	0.885845923377749	black	831
BraA06g044950.3.5C	0.943338240252893	black	831
BraA06g045320.3.5C	0.701168182351308	black	831
BraA06g045490.3.5C	0.692797801734552	black	831
BraA06g045690.3.5C	0.906721819348138	black	831
BraA06g045990.3.5C	0.643189985507618	black	831
BraA07g000390.3.5C	0.406389259660513	black	831
BraA07g001310.3.5C	0.952029162130666	black	831
BraA07g001430.3.5C	0.749849934499633	black	831
BraA07g001630.3.5C	0.877213087690771	black	831
BraA07g001820.3.5C	0.72180983026632	black	831
BraA07g003970.3.5C	0.781825084926231	black	831
BraA07g006830.3.5C	0.626154530823833	black	831
BraA07g007130.3.5C	0.486986135174585	black	831
BraA07g008030.3.5C	0.789711721681379	black	831
BraA07g008500.3.5C	0.809996270737707	black	831
BraA07g008550.3.5C	0.599858616276636	black	831
BraA07g009670.3.5C	0.744739442473821	black	831
BraA07g009760.3.5C	0.851328303960188	black	831
BraA07g010700.3.5C	0.572363944689684	black	831
BraA07g011210.3.5C	0.713851509249699	black	831
BraA07g011520.3.5C	0.83629801894789	black	831
BraA07g011560.3.5C	0.910518962736059	black	831
BraA07g011630.3.5C	0.712090648759214	black	831
BraA07g012470.3.5C	0.828678483853466	black	831
BraA07g013840.3.5C	0.484289337720344	black	831
BraA07g014450.3.5C	0.576484501539363	black	831
BraA07g015180.3.5C	0.676578549733727	black	831
BraA07g015860.3.5C	0.846578868300858	black	831
BraA07g017560.3.5C	0.803165703110915	black	831
BraA07g017710.3.5C	0.625556028851521	black	831
BraA07g017790.3.5C	0.845370774415486	black	831
BraA07g018020.3.5C	0.732034569617146	black	831
BraA07g018100.3.5C	0.690083016779988	black	831
BraA07g018460.3.5C	0.929299553416134	black	831
BraA07g018630.3.5C	0.646578534269513	black	831
BraA07g019110.3.5C	0.660608638772384	black	831
BraA07g019950.3.5C	0.593604605885107	black	831
BraA07g020640.3.5C	0.958805184248299	black	831
BraA07g021200.3.5C	0.71695128832189	black	831
BraA07g021460.3.5C	0.936937178826228	black	831
BraA07g022620.3.5C	0.84416489863014	black	831
BraA07g022980.3.5C	0.341599045322804	black	831
BraA07g023170.3.5C	0.709365155272568	black	831
BraA07g024060.3.5C	0.880745506987031	black	831
BraA07g024340.3.5C	0.718868393383618	black	831
BraA07g024470.3.5C	0.420170906864839	black	831
BraA07g024560.3.5C	0.919510486322503	black	831
BraA07g024700.3.5C	0.765130539213442	black	831
BraA07g024800.3.5C	0.871818730699758	black	831
BraA07g025250.3.5C	0.784809367638649	black	831
BraA07g025700.3.5C	0.833079919756991	black	831
BraA07g026730.3.5C	0.506178206307982	black	831
BraA07g028170.3.5C	0.950237301739795	black	831
BraA07g028930.3.5C	0.874993078080623	black	831
BraA07g029130.3.5C	0.605203334553277	black	831
BraA07g030630.3.5C	0.769856570349611	black	831
BraA07g030920.3.5C	0.618071435093044	black	831
BraA07g031870.3.5C	0.603467442904539	black	831
BraA07g032760.3.5C	0.660597447912619	black	831
BraA07g033870.3.5C	0.842581470899992	black	831
