B10-C0-1	B10-C0-2	B10-C0-3	B10-H0-1	B10-H0-2	B10-H0-3	B11-C0-1	B11-C0-2	B11-C0-3	B11-H0-1	B11-H0-2	B11-H0-3	B10-C3-1	B10-C3-2	B10-C3-3	B10-H3-1	B10-H3-2	B10-H3-3	B11-C3-1	B11-C3-2	B11-C3-3	B11-H3-1	B11-H3-2	B11-H3-3	B10-C12-1	B10-C12-2	B10-C12-3	B10-H12-1	B10-H12-2	B10-H12-3	B11-C12-1	B11-C12-2	B11-C12-3	B11-H12-1	B11-H12-2	B11-H12-3	B10-C24-1	B10-C24-2	B10-C24-3	B10-H24-1	B10-H24-2	B10-H24-3	B11-C24-1	B11-C24-2	B11-C24-3	B11-H24-1	B11-H24-2	B11-H24-3
BraA01g005020.3.5C	8.11664568360513	8.29966644022052	7.90979813723602	8.32682191686588	8.15488441778151	8.28844528865515	7.24472852841302	7.20063238105749	7.05205427925529	6.61188791410989	7.04711188460144	7.3443980768366	6.94011216104386	6.74036941335835	7.31588671830379	6.67623446853712	6.31034783398939	6.82370735413639	6.26363916093707	6.76660241183058	6.5195381130583	6.25845961425553	5.94185901093634	6.32817597923177	6.34065156492673	5.9258604843754	6.21838980945595	5.69323207544046	5.99655708887939	6.02877533820314	5.46737085335728	6.54735832360532	6.10267386718413	5.37224290301226	5.40191900800313	5.4331654708425	7.99800621489781	8.36105057890174	7.85236921034921	6.96434561946813	7.11397061877418	7.12986855964506	7.12955137014917	7.15461141362486	7.07108644487007	5.8244240035261	6.01148575206526	5.18176740818335
BraA01g006210.3.5C	5.89335263583539	5.60784173333516	5.05628258884531	4.63865870590316	4.03016761265348	4.47356835820638	6.43031716016052	6.19089586772477	6.62150388742427	6.05636042231123	5.86390149204336	5.59524230460889	6.72481452255881	6.67284990419497	6.73834698222283	6.35927356254595	6.21038959291096	6.53097407570972	6.71207032356241	7.30895647614989	6.39311132496299	6.67827232728723	6.49170828348593	6.73702130744223	6.67964807823217	6.55109985221137	6.48818728560167	6.00034252009849	6.09640916293877	6.38873659841574	5.5406637012722	6.1827118201687	6.72739139549066	6.60259488955088	6.45059583559851	6.19377752611538	5.35291712254083	4.77611582034236	5.18524705180209	3.95917110653691	4.63299771678109	4.53902781577138	6.14624597370005	6.69153338669463	7.10720566310828	5.49265929743249	6.17231344245446	5.44730449211748
BraA01g007170.3.5C	4.3574547383454	4.79417611296876	4.96279158689806	4.84018841788248	4.54871028553996	4.8559890937726	5.15700836907134	5.17812329440612	5.25207682986431	5.00554551954374	5.29577075709933	4.97960991843266	4.49739864272226	4.80618383719178	4.43931160448089	6.24862899768	6.05748270044598	5.69628207232328	3.44293448305628	3.80603652564142	4.05003966856116	4.64161759976085	4.16938207350985	4.91534085685655	4.30525571954845	4.67470082217604	4.34098838718266	4.55873644220077	4.82433146823108	4.61574832805131	3.48060859148714	3.3077940978024	3.18134522334548	5.25137165492692	4.61837628021822	4.41626026921956	5.11063425423568	4.52435550378138	4.5375700907457	6.26280000669915	6.27406287003236	5.97972234546889	5.14067181496209	4.80726783296412	5.43134571008185	5.57067337145036	5.50463466056367	5.69554172787259
BraA01g007340.3.5C	5.42092682431243	6.4722763324114	5.60651057412308	5.93499070904199	4.68200803269716	5.012015560537	3.89038844836128	4.3692167808984	4.73952248685539	4.03302450188901	4.13664690302614	3.89293626757693	4.42655221792299	4.23221557190389	4.26621191022614	3.43176572049813	4.39500262155507	3.83115678766502	3.62192726098668	3.22413853155959	3.46658735157	3.16267128463836	2.61729311160873	3.43331807477451	3.78888766061112	2.61729311160873	2.61729311160873	2.61729311160873	3.12113433491781	3.33070602747293	4.07252720566813	3.9622756115925	4.14978137626235	2.61729311160873	3.64574909269166	3.46280799597083	5.52007372378071	5.54009867964553	5.45601934586078	4.80920010475956	4.14032965458899	4.67183440682467	3.22208817225104	3.7052637851007	3.2328269460761	3.14156294204269	3.17938548921165	3.16501105699402
BraA01g007450.3.5C	7.69396207195502	9.42844562499631	10.8535186626061	7.52529275936516	6.64417229844752	7.57665598034246	10.0814663907327	9.70402352403747	8.56679046479974	8.86849059729598	7.58497891250233	6.15202329819494	10.4306057860538	9.23579226544686	8.08223661184259	5.33839841347523	7.158979249934	5.52356889330786	8.77685023810583	8.57045869450243	9.06115890107069	6.46200553951482	7.01331260814674	5.80609048087904	9.61173585750147	9.57604686580596	8.77053250020301	5.73548734390593	6.82331363486583	5.15857905932421	6.01982896892322	6.7727747288383	6.30820953716672	5.97385210002989	5.37328179971332	5.4331654708425	7.08975509467902	8.64751166238782	8.79061859758944	6.15067390714223	5.89325561771273	7.75304153816356	8.19651094507822	8.38926976417759	10.6610119103664	4.339357987151	4.2291107268577	4.40872872456525
BraA01g007980.3.5C	7.28014845762241	7.04662730238508	6.70689375211049	7.57078837271063	6.83125174628751	8.0784975746082	8.31258231593922	8.75551265814799	8.42552008021246	9.56623270288681	9.68852603901162	10.1090912412	8.5492669104971	8.51321286815461	8.00282733675103	9.15599744550514	8.77005305370322	8.88513383561276	9.55169059445935	9.76934032287968	9.95522245128213	11.0983469984275	10.5885586262737	10.3953552865065	8.28623911872874	8.39091977724975	7.86622211483675	7.87239829614447	7.31704346194011	8.34221981759983	9.96456180615199	10.4450451371914	10.8851184142722	10.8751370817812	10.6881589562825	10.2949373107482	6.78559396133637	7.34540013419079	6.93052853112794	6.07889218457536	6.18332297885003	6.70428408215297	8.67729488903502	8.29156003812868	8.4232966125657	8.3004734610694	7.8336248309657	7.12926792072684
BraA01g008640.3.5C	3.88277184508706	3.85604968756618	4.19046321513188	4.20864106286209	3.45422245346743	3.21217214280758	5.02320075223811	4.86504161185913	4.99174333155597	4.6113180864119	4.79145440148242	4.00637672674971	3.75177420225375	3.7046542854572	3.47469252897133	3.19698330921495	3.45188242439874	2.61729311160873	4.93839855751605	5.54603829805968	4.88766221612306	4.40184263065456	4.54580527100837	4.19186471852372	3.37022999024688	3.64931885660981	3.38759905673603	3.61190226685842	3.12113433491781	3.12429477865974	4.91974367982187	4.17533649801614	3.72517287318978	4.04326352324544	4.04390424828928	4.24492485908275	4.43281847926194	4.11417026328568	3.44884943169503	3.23454744784269	3.84103769480909	3.62987805867688	4.99462724376172	4.87166516346436	4.92161974959927	3.76551141309042	3.84477409467899	3.55507848956323
BraA01g009010.3.5C	5.98302888733596	6.32781514301425	5.97686035738057	6.23737360365771	5.83971720520412	5.9146005506855	4.92597666849146	5.03068186653691	4.6680662169311	4.96224697565701	4.56909593999344	4.71086148959065	4.80200027697806	4.87055920165767	4.59097572828268	6.87501855616756	5.96209028444054	6.43777575526589	4.11493485919997	4.50685721219135	4.25170029477306	5.13584758134314	5.34508433073624	5.51476578571799	4.94044221412758	5.05543024877949	5.02734822530362	6.55121575502711	6.42498009954804	6.82997260476992	4.52926563514924	4.60495460927962	3.84886301493618	5.18669141421146	5.61194389453077	5.19146565149604	6.5588251899902	6.14011925634208	6.53209494769528	9.07133182144541	8.88944724098857	8.63821071134729	4.50116695222522	4.87166516346436	5.02969729205915	7.6534367254403	7.74117138812267	7.57132510214
BraA01g009740.3.5C	4.76781021438756	4.11352787014083	4.09712419383403	4.39915417941002	4.22951230866672	4.02792042300359	4.97547235557946	4.9225748665414	5.72844670359707	3.56463245257486	4.73935336670982	4.20292618777279	4.35135543010161	4.59140752651806	4.66047170298673	4.43104016616403	4.22530653783991	4.46483560728816	4.5930576935759	5.43810660812646	4.99468362665976	4.97660394736465	5.15515363707891	4.86409297242821	3.67067686771074	4.20304417541368	3.38759905673603	4.07599399354966	4.27826795375398	4.22327876167168	4.73915907824125	4.60495460927962	5.12693543436628	4.51135528003784	4.8075205603803	5.19146565149604	4.23939543826179	4.6564138714296	4.38909013691407	4.53565806078062	4.37630870253388	4.22111586121834	4.50116695222522	4.93306875157088	4.5309075054341	4.46157249561851	4.57909620981145	4.53472361085881
BraA01g009770.3.5C	4.76781021438756	4.85830742445667	4.91347487399613	4.1002716798751	4.22951230866672	4.74068865925465	5.84508897474235	5.67997330852192	5.47070154811871	4.66763667414638	4.73935336670982	3.89293626757693	5.79510486798513	5.46944284875338	5.11344085260303	4.27532159181122	4.13024179218721	4.61809225585975	6.42925174470141	6.67592300933911	7.0119857321119	5.09776348564463	5.23431489149998	4.19186471852372	5.20535535595174	4.97976899648022	5.10708987763825	4.21639783482673	4.07385460295264	4.15500647406786	5.70863879657454	5.76980331456565	5.81378137161184	4.66746985844659	5.18768787810626	4.82219941895665	3.51613330718345	4.29552045219395	4.46555912819587	3.95917110653691	3.71805804321758	3.20981010704308	4.83067512010025	5.15387347395736	4.86410278193542	3.86893941815942	3.72145503379913	4.34051607868435
