B10-C0-1	B10-C0-2	B10-C0-3	B10-H0-1	B10-H0-2	B10-H0-3	B11-C0-1	B11-C0-2	B11-C0-3	B11-H0-1	B11-H0-2	B11-H0-3	B10-C3-1	B10-C3-2	B10-C3-3	B10-H3-1	B10-H3-2	B10-H3-3	B11-C3-1	B11-C3-2	B11-C3-3	B11-H3-1	B11-H3-2	B11-H3-3	B10-C12-1	B10-C12-2	B10-C12-3	B10-H12-1	B10-H12-2	B10-H12-3	B11-C12-1	B11-C12-2	B11-C12-3	B11-H12-1	B11-H12-2	B11-H12-3	B10-C24-1	B10-C24-2	B10-C24-3	B10-H24-1	B10-H24-2	B10-H24-3	B11-C24-1	B11-C24-2	B11-C24-3	B11-H24-1	B11-H24-2	B11-H24-3
BraA01g007900.3.5C	4.90114608422109	4.41454533515261	4.43261186953349	4.95916041066509	5.24109836192566	4.22700214431183	4.10605182773253	4.27900518208562	4.80724887822042	4.77337985885185	4.50686345878181	4.37073653345322	4.49739864272226	4.87055920165767	4.84897699429865	5.09873581334196	4.5438609352969	4.81817161255416	5.50838977050877	6.10889380534323	5.46758556645978	4.58582884133935	5.15515363707891	5.10266444088626	4.37236308299279	4.20304417541368	4.47382920500316	5.05006028649996	4.27826795375398	4.22327876167168	4.60313886921044	4.17533649801614	4.23427291985525	4.39528374763592	4.71640375052565	4.74245044140543	4.23939543826179	4.93733004240335	4.38909013691407	5.03529161162446	4.2243920581409	3.7790299357064	4.88760754737425	5.29868654887013	5.39209879746807	4.46157249561851	4.85254498745131	4.47332861798417
BraA01g008250.3.5C	4.45100406281256	4.32247175963255	4.35721624363363	5.01488371521196	4.22951230866672	3.21217214280758	4.10605182773253	4.53174345384239	3.70525312653211	4.6113180864119	4.37216780091231	3.43945030302575	4.18506220424623	4.00089644604495	4.72639321281718	4.7516461715673	4.73859020191378	3.96525266651723	4.01199297042779	3.93769657144503	4.15534125188507	4.58582884133935	4.33433493543609	4.75519543276287	4.89793812045885	4.51817227204163	4.75481339852018	5.05006028649996	4.82433146823108	4.83609039674362	4.52926563514924	4.17533649801614	4.38693316868965	5.01008551622343	4.8075205603803	4.78293353172264	4.23939543826179	4.37667318832338	4.73183762420375	4.45694901377854	4.51124892609048	4.84842731767909	3.80217626180038	3.25521424574894	3.66814824908195	3.96273593407711	4.57909620981145	4.70279499856192
BraA01g008410.3.5C	6.38409787558101	6.8191710290427	6.80130529004469	5.72325542418931	5.66721940774742	5.63242614803986	6.72367204110921	6.36093769073359	6.50962830769184	5.88671218353505	6.19549385730337	5.6559982038094	6.14259063530614	5.88593241849072	5.9773877638204	6.08630556420328	5.72052634848233	5.90713101349853	6.14146610317175	6.13191989506126	6.58705933832277	6.02088533352174	6.1760781279212	6.2145292479941	4.98163166552132	5.86568858848442	5.1823948034427	5.48550189244556	5.55470418565218	5.12633434533956	5.17509261130142	4.9938408590893	4.8591582934542	5.81459748049331	5.68320925031907	5.74129778278064	5.35291712254083	5.21102856825971	5.8243328436466	5.51289115294978	5.6144560795398	5.65421483868909	6.29534823016808	6.69153338669463	6.456508286158	5.7147328387329	5.44218783502236	5.5064140225566
BraA01g008430.3.5C	4.45100406281256	4.50016163978901	4.43261186953349	4.39915417941002	3.91503146900477	3.78348678356145	4.76531303006705	4.53174345384239	4.93304905695187	4.55238867493267	4.56909593999344	4.37073653345322	4.42655221792299	4.87055920165767	4.66047170298673	4.43104016616403	4.39500262155507	4.87857852492065	5.08221415468468	4.50685721219135	5.1407304019597	4.79577496841058	4.47926660836885	4.63633719958077	5.45602049939347	4.62463748200918	4.59377618161547	5.01541805476636	4.69715743140001	4.75238994437144	4.27678777823432	4.10876848519456	4.38693316868965	4.26694227321172	4.71640375052565	4.51838674666066	4.00720209479921	4.37667318832338	3.90699939345146	3.67100444827654	4.04950746914724	3.44955197862727	4.42355266013311	4.51193450306377	4.60482808482844	3.14156294204269	3.40734019849735	3.55507848956323
BraA01g008770.3.5C	5.62190810824703	5.37215939743088	5.30331733820403	5.99007959935351	5.19885576394183	5.56848163628601	5.99238760207879	5.83332754441431	5.85691576615153	5.61411068966353	5.14765784687951	4.87858455377228	6.80454396268662	6.5651985543299	7.13267438786074	7.75437175634685	8.66888530048942	7.93506405988748	6.94815473461197	6.95824090553778	6.66721342187952	7.90787993086511	7.928366853616	7.74620622709382	5.53942640491788	6.3474299224323	6.03196496891005	6.22337239643585	7.10325612945514	6.32088145202167	4.80215502881599	5.39852820882461	5.04347732796319	6.70761838051297	6.24819360683788	7.83897728416672	5.0001788018782	4.77611582034236	5.30786900634333	6.57181826334406	6.20193967085013	6.56673597020963	5.22996737069588	4.93306875157088	4.5309075054341	6.61337038146483	6.15317818303612	6.12749307434256
BraA01g009260.3.5C	6.09439358100145	6.87950273791477	6.92623236284649	6.61418386610352	6.4815469833341	7.2247385833082	5.87073021315174	5.71201227255048	5.97465445150428	6.57069323987136	6.2850256941097	8.19285238139313	4.9554938733664	5.34249886558728	5.16062335507364	5.66356392323541	5.66070878214203	5.44801210916313	4.29636056104987	5.36118349997319	5.09378166464982	5.63430523342873	5.11377659884588	6.11235858105991	6.49978488243494	6.00230207663373	6.18301008993822	5.85513031707521	6.11238871964256	6.12766024919052	4.67294849312087	5.71104173378654	5.24322617330729	6.02923373250039	5.95604760317952	6.3041645854045	6.76936912281446	6.35662835517961	6.6726193709615	8.92327657449406	8.16359820425237	8.10638014954099	5.70139061413331	5.54934595361602	6.69716027641285	8.63679091908623	8.62623849288138	8.7960648099194
BraA01g009760.3.5C	3.26505852622205	3.25077305265149	2.61729311160873	3.24476781667217	2.61729311160873	3.21217214280758	4.19985806473476	3.82294712746296	4.00163815812773	2.61729311160873	2.61729311160873	2.61729311160873	4.27114271267741	4.00089644604495	3.22795875838457	3.43176572049813	3.21149152361055	3.23749990064225	4.20920450959814	4.50685721219135	4.42359889340135	4.01368516243575	3.9763906497585	3.61036930831088	3.15268522703445	3.14149052761834	3.92244347524338	2.61729311160873	2.61729311160873	3.33070602747293	4.07252720566813	3.69433551910053	3.58239792875754	3.86395569428613	3.35205129750408	3.6990192329862	2.61729311160873	2.61729311160873	3.44884943169503	2.61729311160873	2.61729311160873	2.61729311160873	4.05000141998523	4.23307525617394	3.95562519597579	3.35475380225702	2.61729311160873	2.61729311160873
BraA01g012710.3.5C	3.52599052720121	3.5062532575956	3.19754269209982	3.98020516311728	3.45422245346743	3.91294396350404	3.2012967605539	3.48184997034097	3.25520780735555	3.56463245257486	3.17613576796499	4.44658911335429	3.75177420225375	2.61729311160873	2.61729311160873	3.19698330921495	2.61729311160873	3.23749990064225	2.61729311160873	3.46940301932178	2.61729311160873	3.6896952187843	3.42087910777769	3.61036930831088	3.53442841286484	3.96256058153616	2.61729311160873	3.99854256132444	4.27826795375398	4.22327876167168	2.61729311160873	3.3077940978024	3.58239792875754	3.51208918647392	3.64574909269166	3.96798515024587	3.51613330718345	3.62139063848923	3.62903406901235	4.74606018982107	4.37630870253388	4.73340245903382	2.61729311160873	2.61729311160873	2.61729311160873	4.46157249561851	4.69550722255409	4.85146232368131
BraA01g013150.3.5C	4.61924803299556	5.67830954958267	5.47985399023186	5.87766813922856	5.11022665819616	5.35687273022412	5.46052874747611	4.53174345384239	5.38735886217593	5.00554551954374	6.15804203085324	5.59524230460889	5.29536778022954	5.20265989829081	4.43931160448089	5.33839841347523	4.5438609352969	6.20841864441114	5.69528508049902	5.51098376161225	5.39285308301145	5.05857617592542	4.93427550739775	5.63865735065751	4.98163166552132	4.04868012195004	4.70334105524165	5.05006028649996	4.69715743140001	5.33752299615622	5.91443506681444	4.8518060851841	4.75638298834682	4.849894690218	4.45547297219062	4.24492485908275	5.11063425423568	4.98698735403893	4.60566951457037	4.07765812494508	5.26573951843489	5.27001859123436	6.07722625068996	5.85693969435979	5.99653980561573	3.51576951235497	4.90097434163829	4.75425773172615
BraA01g013650.3.5C	4.76781021438756	4.11352787014083	4.69539505019055	4.56379659991115	4.96533552401557	4.61413327159444	4.36740859890998	4.9777206117958	4.33335203840411	4.87118654221071	4.93639424237688	4.64977067225747	4.09199241616982	4.59140752651806	4.51744433918792	4.80716060738372	5.31577526203077	4.81817161255416	4.20920450959814	4.50685721219135	4.05003966856116	4.33383815995469	4.40895168216301	4.43418404498548	5.06039523214387	4.2730575409854	4.70334105524165	5.55823472182299	5.3517204406392	5.22086349350533	4.27678777823432	4.35475515235622	4.38693316868965	4.93239967172507	5.15415204297919	5.10038188415473	5.0001788018782	4.98698735403893	5.38392905726938	5.31608164993568	5.402914052647	5.42231997557607	4.3406816532096	4.51193450306377	4.07384483868209	4.62487991585444	4.99283681620416	4.98503626677751
